Date,Open,High,Low,Close
5-Jul,13,14,11.25,12.46
5-Aug,12.58,14.88,12.55,13.42
5-Sep,13.48,14.87,12.27,13.3
5-Oct,13.2,14.47,12.4,12.99
5-Nov,13.35,13.88,12.88,13.41
5-Dec,13.49,14.44,13,13.71
6-Jan,13.68,17.16,13.58,15.33
6-Feb,15.5,16.97,15.4,16.12
6-Mar,16.2,20.95,16.02,20.08
6-Apr,20.56,20.8,18.02,19.49
6-May,19.8,21.8,15.8,18.03
6-Jun,18.2,18.4,13.4,15.62
6-Jul,16,17.2,13.82,16.16
6-Aug,15.9,18.6,15.7,17.84
6-Sep,18,18.88,16.8,18.46
6-Oct,18.78,24.2,18.5,22.78
6-Nov,22.8,28.47,21.4,25.32
6-Dec,25.4,29.66,24.4,26.97
7-Jan,27.4,34.16,27,30.16
7-Feb,30.2,32.6,26.8,28.63
7-Mar,29.3,31.58,23.31,28.14
7-Apr,27,31.99,26.2,30.31
7-May,30.66,36.14,29.11,33.51
7-Jun,33.89,36.38,30.4,35.98
7-Jul,35.98,41.04,35.02,37.93
7-Aug,37.5,39,30.2,36.99
7-Sep,37.4,41.75,35.3,41.36
7-Oct,41.8,47.3,33.6,43.48
7-Nov,44.4,50.98,40.02,46.18
7-Dec,46.4,54,45,49.81
8-Jan,49.99,55.56,30.24,50.54
8-Feb,50.88,53.97,44.4,49.42
8-Mar,48.9,48.9,24.11,33.75
8-Apr,33.9,35.8,28.51,34.06
8-May,34.3,36.88,30.03,31.13
8-Jun,31.22,32.22,22.62,22.85
8-Jul,22.85,30.5,20.4,25.45
8-Aug,25,28.98,24.62,26.83
8-Sep,26.68,29.8,21.7,24.13
8-Oct,24.6,25,11.01,13.58
8-Nov,14.79,17.8,11.25,12.26
8-Dec,12.4,16.56,11.13,15.03
9-Jan,15.28,18.34,11.48,12.24
9-Feb,12.19,12.5,9.9,10.26
9-Mar,10,11.24,8.16,9.98
9-Apr,10.04,17.51,9.94,15.45
9-May,15.94,28.84,14.76,25.12
9-Jun,25.6,31.08,23,29.68
9-Jul,29.7,33.16,24.83,31.93
9-Aug,31.98,35.18,29,33.45
9-Sep,33.8,41.3,32,40.99
9-Oct,41.2,52.34,36.8,47.31
9-Nov,46.58,54.98,42.84,50.57
9-Dec,50.98,55.67,48.6,53.41
10-Jan,53.6,57.58,46.42,49.84
10-Feb,49,51.48,44.6,47.32
10-Mar,47.8,52.06,47.3,50.97
10-Apr,50.67,59.48,48.8,57.1
10-May,56.94,58.08,50.66,57.57
10-Jun,56.7,59.9,52.6,53.83
10-Jul,53.55,60.94,53.02,58.99
10-Aug,59.4,68.88,59.01,62.22
10-Sep,62.8,71.74,62.51,70.3
10-Oct,70.9,76,68.21,71.86
10-Nov,72.2,77.6,58,61.21
10-Dec,61.8,68.36,55.44,62.54
11-Jan,62.98,63.54,49.39,52.59
11-Feb,53,57.69,46.71,51.29
11-Mar,51.84,65.2,50.8,61.98
11-Apr,62,68.26,60.5,61.02
11-May,61.26,61.68,54.5,60.07
11-Jun,60.4,63.39,54.8,62.38
11-Jul,63,68,61.36,62.13
11-Aug,62.9,63.96,50.51,55.61
11-Sep,56,60.08,51.2,54.5
11-Oct,53.8,64.8,48.1,62.9
11-Nov,62.2,63.7,52.04,54.49
11-Dec,57,59.8,47.4,47.72
12-Jan,47.92,66.5,46.11,65.99
12-Feb,65.9,74.8,63.6,69.14
12-Mar,69,77.88,66.2,73.46
12-Apr,73.62,76.1,69.11,70.07
12-May,70.4,70.59,58.85,66.02
12-Jun,65.45,70.6,62.14,67.83
12-Jul,68.15,73.19,67.57,72.85
12-Aug,73,74.78,65.27,65.97
12-Sep,66.2,77.69,64.46,76.44
12-Oct,76.4,84.2,75.6,82.29
12-Nov,82.54,89.6,82.22,88.48
12-Dec,89.2,95,88.01,92.84
13-Jan,93.2,107,93.2,104.41
13-Feb,104.41,107.8,93.4,94.5
13-Mar,94,100.15,83.42,85.71
13-Apr,85.7,101.8,83.43,100.28
13-May,100.99,109.43,97.2,97.49
13-Jun,99,102.94,87.15,92.2
13-Jul,92.4,100.4,57.71,64.76
13-Aug,66,67.81,43.22,48.65
13-Sep,49.2,78.94,44.8,57.5
13-Oct,58,76.44,56.08,73.76
13-Nov,74,77.27,64.65,73.74
13-Dec,74.4,83,71.63,74.02
14-Jan,74.74,76.35,60.8,61.59
14-Feb,61.54,62.7,58.42,60.95
14-Mar,60.52,83.36,60.34,82.7
14-Apr,83.45,94.98,80.8,88.14
14-May,88.8,117.6,86.98,113.89
14-Jun,114.8,117.57,101.62,108.38
14-Jul,108.43,114.46,100.44,108.21
14-Aug,107.4,118.69,103.31,114.33
14-Sep,114.6,126.85,107.18,111.7
14-Oct,112.1,137.8,109.2,136.83
14-Nov,137.1,143.91,132.44,142.08
14-Dec,142.08,155,134,154.57
15-Jan,154.4,179,150.47,172.5
15-Feb,172.5,173.88,156.1,172.55
15-Mar,174.8,182,156.8,163.31
15-Apr,162.8,172.8,154.53,167.96
15-May,170,176.96,157.8,176.52
15-Jun,177,179.4,158.9,168.6
15-Jul,169,175.58,156.45,165.74
15-Aug,165.9,169.19,118,137.9
15-Sep,135.61,155.5,127,145.92
15-Oct,146.96,155.94,141.73,151.82
15-Nov,151.73,157.96,144.03,153.3
15-Dec,153,154.52,133.71,145.23
